,label,judul_clean,narasi_clean
0,1,pemakaian masker menyebabkan penyakit legionnair,caller tapi radio talk show recent share that hi wife wa hospit told she had covid onli coupl of day left tapi live doctor friend suggest she be test for legionnair diseas becaus she wore the same mask everi day all day long turn out itu wa legionnair diseas from the moistur bacteria ini her mask she wa given antibiot within two day wa better what if these spike ini covid are realli someth els due tapi mask induc infect
1,1,instruksi gubernur jateng penilangan yang bermask muka rp etilang via app pikobar,ythseluruh anggota grup sesuai instruksi gubernur jawa hasil rapat tim gugu tuga covid jateng sebab
2,1,foto jim rohn jokowi presiden terbaik dalam sejarah bangsa indonesia,jokowi presiden terbaik dalam sejarah bangsa indonesia jim rohn motiv terbaik dunia
3,1,politik kenyataan jokowi berhasil memulangkan triliun uang negara swiss,maaf ma mbak politik kenyataan jokowi berhasil memulangkan triliun uang negara swiss ribu triliun bawa indonesiaruu treati on mutual legal assist ini crimin matter between the republ of indonesia and the swiss confeder mla riswiss resmi disahkan dpr ri tanggal juli prose konstitusi menarik dana swiss selesai perjuangan menghadapi ex koruptor bersenggama agama terimakasih kadrun nyinyirian uang triliun indonesia nyinyir sulit ruu disahkan dpr pemilik reken gendut gigit jari tekanan jokowi kencang baca beritanya
4,1,foto kadrun kalo lihat foto pana dingin,kadrun kalo lihat foto pana dingin
5,1,event promo smartphon jne spesial juni,selamat siang teman teman fb ku semuanyacuman informasi rezeki enggak kemana ya kemarin mengikuti event promo smartphon jne spesial juni mesan smartphon vivo pro cuman seharga rpgak menyangka seharga rp hp vivo pro teman teman fb ku yang penasaran ikutan inbox saja wa adminnya
6,1,menguasai negeri,lihatlah menguasai negeri
7,1,foto presiden italia menangi lahan mengubur an korban corona,italia fasilita perawatan kesehatan tercanggih gagal mengendalikan corona dianggap lelucon presiden menangi lahan mengubur an korban corona
8,1,kapolr timor utara nusa tenggara timur klarifikasi terkait video polisi diamkan korban kecelakaan,polisi goblok bukanya cepat tolongin liati saja
9,1,video polisi china menganiaya wanita uighur lehernya cekik pakai kaki,polisi china menganiaya wanita uighur lehernya cekik pakai kaki melek itu yang bilang penganiayaan ham diam seribu bahasa polisi lihat giliran orang biadab
10,1,jokowi bersedia mengundurkan,jokowi bersedia mengundurkan gue nih
11,1,info jalur rawan begal himbauan malam kapolr cianjur,begal merambat wilayah cianjur wilayah rewan begal harapkan waspada penuh malam jalur gekbrong arah sukabmi cibeb arah campaka sampai cilaku
12,1,dirut pt agung podomoro land cosma batubara meningg dunia,berduka cita meninggalnya pejuang angkatan cosma batubara sabtu juli wib semoga maha kuasa mengampuni dosanya layak disisi nya amin
13,1,surabaya telepon moeldoko suruh jokowi akui kekalahan,bantu sebar ya surabaya telpon moeldoko suruh jkw akui kekalahan info jender enggak gusar panik ya pejuangpejuang info valid
